Release-note,Review1,Review2,Review3,Review4,Review5,Review6,Review7,Review8,Review9,Review10
Release Note : Allow backup export location to be selected,,,,,,,,,,
Release Note : Fix barcode centering issue when exiting full screen,"the barcode scanner st cbs wouldnt recognize or was unable to scan the barcode displayed by this app therefore its useless   
 (0.80)","barcode scanner is not working   
 (0.86)","good job just a tiny detail card note font size doesnt seem to work and note looks halfhidden until you tap it but its irrelevant great app   
 (0.85)",,,,,,,
Release Note : Update translations,,,,,,,,,,
Release Note : Tapping the barcode now moves it to the top of the screen. This is to help scan a barcode on a scanner which is only able to scan the very top of the phone.,"the barcode scanner st cbs wouldnt recognize or was unable to scan the barcode displayed by this app therefore its useless   
 (0.78)",,,,,,,,,
Release Note : Improves scanning in dark mode by adding white space around barcodes.,"the barcode scanner st cbs wouldnt recognize or was unable to scan the barcode displayed by this app therefore its useless   
 (0.76)",,,,,,,,,
"Release Note : The import buttons on the import/export dialog were swapped, and are now fixed.",,,,,,,,,,
Release Note : Add ability to search for a card,"it works would be nice to keep scan of cards like beep n go and backup to google drivebut otherwise good   
 (0.82)","need sorting amd search          
 (0.86)","good job just a tiny detail card note font size doesnt seem to work and note looks halfhidden until you tap it but its irrelevant great app   
 (0.86)","simple and quick to use stored all my cards in 10 mins   
 (0.85)","difficult to use                 
 (0.85)","brilliant app no need to create an account no hastle just name optional note then scan or enter number manually love it small suggestion would be to allow us to select a card logo or colour maybe a colour selector when creating a card that changes a highlight colour in the list andor the background colour when displaying the barcode also my ikea family card is 20odd digits long but the barcode image ends up quite crushed from the sides and rotating it to landscape does not stretch it meaning its hard to get the reader to read it   
 (0.85)",,,,
Release Note : Add ability to share and receive loyalty cards,,,,,,,,,,
Release Note : Dark mode support,,,,,,,,,,
Release Note : Loyalty cards can now be barcodeless (e.g. not have a barcode),"unable to change the card number and unable to remove a store   
 (0.77)","brilliant app no need to create an account no hastle just name optional note then scan or enter number manually love it small suggestion would be to allow us to select a card logo or colour maybe a colour selector when creating a card that changes a highlight colour in the list andor the background colour when displaying the barcode also my ikea family card is 20odd digits long but the barcode image ends up quite crushed from the sides and rotating it to landscape does not stretch it meaning its hard to get the reader to read it   
 (0.86)",,,,,,,,
Release Note : Notes can span multiple lines,,,,,,,,,,
Release Note : Improvements with the sizing of notes,,,,,,,,,,
Release Note : Improve notification and app icon visibility,,,,,,,,,,
Release Note : Update French and Slovenian translations.,,,,,,,,,,
