Release-note,Review1,Review2,Review3,Review4,Review5,Review6,Review7,Review8,Review9,Review10
Release Note : Android Auto new navigation,"android auto does not work       
 (0.85)","it keeps rewinding itself on android tablet   
 (0.88)","not working on android auto      
 (0.88)","not available from android auto   
 (0.87)","video files not showing in android auto   
 (0.87)","good app except the navigation while using an hdmi adapter is bad   
 (0.86)","app will not show up on android auto   
 (0.86)","control buttons in potrait mode overlaps with android system navigation buttons which auto hides when not in use its super annoying   
 (0.86)",,
Release Note : Android Auto new navigation,"android auto does not work       
 (0.85)","it keeps rewinding itself on android tablet   
 (0.88)","not working on android auto      
 (0.88)","not available from android auto   
 (0.87)","video files not showing in android auto   
 (0.87)","good app except the navigation while using an hdmi adapter is bad   
 (0.86)","app will not show up on android auto   
 (0.86)","control buttons in potrait mode overlaps with android system navigation buttons which auto hides when not in use its super annoying   
 (0.86)",,
Release Note : Fix Chromecast disconnection,,,,,,,,,,
Release Note : Remove sliders haptic feedback,,,,,,,,,,
Release Note : Improve DVD/BD menu support,"get rid of hamburger menu thanks   
 (0.84)","cant play ripped dvds or even handle dvd menus   
 (0.87)","did not have a dropbox download menu   
 (0.87)","main menu for videos is not so good   
 (0.86)","the menu is esay to oparete      
 (0.86)",,,,,
Release Note : Improve DVD/BD menu support,"get rid of hamburger menu thanks   
 (0.84)","cant play ripped dvds or even handle dvd menus   
 (0.87)","did not have a dropbox download menu   
 (0.87)","main menu for videos is not so good   
 (0.86)","the menu is esay to oparete      
 (0.86)",,,,,
Release Note : Improve DVD/BD menu support,"get rid of hamburger menu thanks   
 (0.84)","cant play ripped dvds or even handle dvd menus   
 (0.87)","did not have a dropbox download menu   
 (0.87)","main menu for videos is not so good   
 (0.86)","the menu is esay to oparete      
 (0.86)",,,,,
Release Note : AV1 decoding performances improvement,,,,,,,,,,
Release Note : AV1 decoding performances improvement,,,,,,,,,,
Release Note : Do not show controls overlay on seek gestures,"terrible interface controls      
 (0.85)","pauseplay gesture is missing     
 (0.88)","problem with gestures and vlc options   
 (0.87)","gestures they mentioned such as double tap to seek only making play and pause in addition to this brightness and volume gestures also not working its too bad   
 (0.87)","no gesture to increasedecrease speed   
 (0.87)","no subtitle support on chromecast   
 (0.86)","can you make volume gesture precise like brightness gesture also making it fast when you swipe too quick   
 (0.85)","chromecast function does not work   
 (0.85)",,
