Release-note,Review1,Review2,Review3,Review4,Review5,Review6,Review7,Review8,Review9,Review10
Release Note : Farewell message from the former Warmshowers Android volunteers.,"thanks to warmshowernow i just can have friend from all around the worldi already hosting 4 person now   
 (0.84)","been having new people stay over on random nights for years   
 (0.91)","great network of great people and the app is pretty good however there are a few features i would love to see 1 autosaved drafts for messages its infuriating to lose everything youve typed because you went back to look again at the map or someones profile 2 add a location search bar to the map view so i can zoom to a city and then browse people on the map 3 overlay a gpx file so i can see how far off my planned route a host might be 4 switch to something like a custom mapbox vector map optimized for cycling   
 (0.89)","it doesnt load the map           
 (0.87)","many issues listed by others over the last year have not been fixed   
 (0.87)","not much help when i cant even read my messages with it   
 (0.86)",,,,
Release Note : Fixes connection issues.,"connection issues every single time on galaxy s7 i have not been able to use the app at all please fix im running 151   
 (0.81)","many issues listed by others over the last year have not been fixed   
 (0.87)","it doesnt work check internet connection is the only message that i get   
 (0.85)",,,,,,,
Release Note : Fixes user feedback scrolling issues.,,,,,,,,,,
Release Note : Other bug fixes.,,,,,,,,,,
"Release Note : Fix automatic message reload, s.t. new messages are fetched even when the app is closed (especially after a device reboot).","had to uninstall the app now reinstalled i cannot login i get the message communication with server failed please check internet connection there is nothing wrong with my connection   
 (0.83)","as title long loading the switch to other app then back crash   
 (0.88)","the app refused to connect to the server deleted   
 (0.87)","hey guys i cant send messages through the app   
 (0.86)",,,,,,
"Release Note : Fix automatic message reload, s.t. new messages are fetched even when the app is closed (especially after a device reboot).","had to uninstall the app now reinstalled i cannot login i get the message communication with server failed please check internet connection there is nothing wrong with my connection   
 (0.83)","as title long loading the switch to other app then back crash   
 (0.88)","the app refused to connect to the server deleted   
 (0.87)","hey guys i cant send messages through the app   
 (0.86)",,,,,,
Release Note : Map user filter is persisted across app restarts,,,,,,,,,,
Release Note : Bugfixes,,,,,,,,,,
Release Note : This update includes the following updates:,"many issues listed by others over the last year have not been fixed   
 (0.84)","been having new people stay over on random nights for years   
 (0.96)","cant log in after the update     
 (0.92)","thanks to warmshowernow i just can have friend from all around the worldi already hosting 4 person now   
 (0.91)","it doesnt load the map           
 (0.90)","app has vastly improved with the last update however with newly integrated openstreet maps it loads reaally slowly to the point its just barely usable so it really needs to be improved   
 (0.87)",,,,
Release Note : Google maps are replaced by OpenStreetMap,"app has vastly improved with the last update however with newly integrated openstreet maps it loads reaally slowly to the point its just barely usable so it really needs to be improved   
 (0.74)","it doesnt load the map           
 (0.88)",,,,,,,,
Release Note : Filter for users on the map,"it doesnt load the map           
 (0.80)",,,,,,,,,
Release Note : Data saver mode,,,,,,,,,,
Release Note : Option to remember the login password,"cannot get past the login page i enter user name and password and always get the failed to connect check your internet connection error   
 (0.81)","cannot log in no matter how many times i try have reset my password multiple times   
 (0.90)","authentication failed it used to work and now it doesnt let me login for no apparent reason which is a shame because i am currently on a bike tour please fix it warm showers people d    
 (0.90)","the login page has been fixed everythigs fine now    
 (0.88)","suddenly began experiencing same login problems others have authentication failed but prior to this i loved the app i find it much easier than the mobile version of the website to search for hosts etc hoping it will be fixed soon   
 (0.87)",,,,,
Release Note : Marker styling for favorite users,,,,,,,,,,
Release Note : Map user filter is persisted across app restarts,,,,,,,,,,
Release Note : Bugfixes,,,,,,,,,,
Release Note : This update includes the following updates:,"many issues listed by others over the last year have not been fixed   
 (0.84)","been having new people stay over on random nights for years   
 (0.96)","cant log in after the update     
 (0.92)","thanks to warmshowernow i just can have friend from all around the worldi already hosting 4 person now   
 (0.91)","it doesnt load the map           
 (0.90)","app has vastly improved with the last update however with newly integrated openstreet maps it loads reaally slowly to the point its just barely usable so it really needs to be improved   
 (0.87)",,,,
Release Note : Google maps are replaced by OpenStreetMap,"app has vastly improved with the last update however with newly integrated openstreet maps it loads reaally slowly to the point its just barely usable so it really needs to be improved   
 (0.74)","it doesnt load the map           
 (0.88)",,,,,,,,
Release Note : Filter for users on the map,"it doesnt load the map           
 (0.80)",,,,,,,,,
Release Note : Data saver mode,,,,,,,,,,
Release Note : Option to remember the login password,"cannot get past the login page i enter user name and password and always get the failed to connect check your internet connection error   
 (0.81)","cannot log in no matter how many times i try have reset my password multiple times   
 (0.90)","authentication failed it used to work and now it doesnt let me login for no apparent reason which is a shame because i am currently on a bike tour please fix it warm showers people d    
 (0.90)","the login page has been fixed everythigs fine now    
 (0.88)","suddenly began experiencing same login problems others have authentication failed but prior to this i loved the app i find it much easier than the mobile version of the website to search for hosts etc hoping it will be fixed soon   
 (0.87)",,,,,
Release Note : Marker styling for favorite users,,,,,,,,,,
Release Note : Made links in user profiles clickable,,,,,,,,,,
Release Note : Switched default map style to OpenTopoMap (performance improvement),"many issues listed by others over the last year have not been fixed   
 (0.80)","thanks to warmshowernow i just can have friend from all around the worldi already hosting 4 person now   
 (0.86)",,,,,,,,
Release Note : User profiles refreshable by swiping them down,,,,,,,,,,
