Release-note,Review1,Review2,Review3,Review4,Review5,Review6,Review7,Review8,Review9,Review10
Release Note : You can now pull in audio via URL with the Audio block.,"i cant upload audios via this app its really making my audio uploads a headache as a blogger its only about videos and pictures it crashes when i post multiple pictures after copying and pasting from other webpages it also doesnt paste to the exact places i place it to be   
 (0.84)","it works great for about 80 of my needs i started to work on my old podcast again but cant load audio via the app very annoying   
 (0.89)","the app works well overall but it theres still no upload audios on the media tab please fix   
 (0.88)","no available audio sharing service   
 (0.87)","i dont know whats wrong with this app i cant upload audio through my phone on this app not until i signed in with web browser and upload the song please why cant i upload audio and file in this app   
 (0.86)","i still have to go through the site because this app does not allow to insert embed or audio links   
 (0.86)",,,,
Release Note : - the option to pick a homepage design when creating a WP.com site;,"just like the website some settings dont save which is frustrating and annoying also an easier way to search for blogs to follow by name and an easy way to access a list of followed blogs would also be nice   
 (0.84)","using it for a year or so nice best used for creating simple blog postspages with a pic or two and general management of site insights and reader are a fabulous tools designed to inform site managers of online traffic and also simplify site aesthetics for those who browse there are limitations on wp postpage design and the app doesnt support buildingediting podcast pages at all   
 (0.86)","doesnt have all the functionality of the website very basic version of the site   
 (0.86)","its nice obviously cant do all you can on the site but wish it had more accessibility   
 (0.86)","that includes the website too all i want to do is edit a paragraph of my website can find how to do it can i fujust make it easier to use please   
 (0.86)","good job i can make my own website within a few minutes but i couldnt change my dp    
 (0.85)",,,,
Release Note : - improved functionality for setting the dimensions of Cover and Columns;,,,,,,,,,,
Release Note : - Block editor: Edit unsupported blocks by enabling Jetpack SSO from the missing block alert. Use the link picker to add URLs to posts. Double-tap text fields in accessibility mode now works as expected.,"block editor is consistent with text format but 2 much white spaces between 2 paragraphs need to shrink at 15 or 10 does not have sticky post option for published posts unlike web version is there a way to balance the font size and format of paragraph without the texts going off at random italic and random font size there and here especially between web version and mobile options for font size font style linespacing control are mustneeds regardless of app or internet versions   
 (0.85)","block editor is very slow to load and its a nightmare for text created elsewhere list block turns into text block after pasting lines of text and it cant be changed or adjusted underscore text option is missing app lags when adding blocks formatting in classic editor is now wonky especially for lists   
 (0.87)","i cant edit widgets nor delete it even after the update spacing is also a problem i want a new paragraph but it connects to the previous one hate it until its fixed   
 (0.87)","block editor in the app does not support lists yet i make lists a lot after updating i still cant edit or see a list in the app i made the post in block on a browser   
 (0.86)","i still find the block editor unusable because there is no way to convert an existing block to another type you have to delete and create a new one before pasting in content pasting doesnt even work with titles and heading blocks they just revert to paragraphs   
 (0.86)","1 simple controls like adding a hyperlink to the text work erratically the popup to add url doesnt appear when it appears even if i save the url it doesnt reflect in the preview 2 editing post is not only slow switching between controls often doesnt work 3 while i havent digged into the details it runs slowly on my phonegalaxy s8 even when other apps are closed also the phone heats up   
 (0.85)",,,,
Release Note : - Block editor: Edit unsupported blocks by enabling Jetpack SSO from the missing block alert. Use the link picker to add URLs to posts. Double-tap text fields in accessibility mode now works as expected.,"block editor is consistent with text format but 2 much white spaces between 2 paragraphs need to shrink at 15 or 10 does not have sticky post option for published posts unlike web version is there a way to balance the font size and format of paragraph without the texts going off at random italic and random font size there and here especially between web version and mobile options for font size font style linespacing control are mustneeds regardless of app or internet versions   
 (0.85)","block editor is very slow to load and its a nightmare for text created elsewhere list block turns into text block after pasting lines of text and it cant be changed or adjusted underscore text option is missing app lags when adding blocks formatting in classic editor is now wonky especially for lists   
 (0.87)","i cant edit widgets nor delete it even after the update spacing is also a problem i want a new paragraph but it connects to the previous one hate it until its fixed   
 (0.87)","block editor in the app does not support lists yet i make lists a lot after updating i still cant edit or see a list in the app i made the post in block on a browser   
 (0.86)","i still find the block editor unusable because there is no way to convert an existing block to another type you have to delete and create a new one before pasting in content pasting doesnt even work with titles and heading blocks they just revert to paragraphs   
 (0.86)","1 simple controls like adding a hyperlink to the text work erratically the popup to add url doesnt appear when it appears even if i save the url it doesnt reflect in the preview 2 editing post is not only slow switching between controls often doesnt work 3 while i havent digged into the details it runs slowly on my phonegalaxy s8 even when other apps are closed also the phone heats up   
 (0.85)",,,,
Release Note : - Block editor: Edit unsupported blocks by enabling Jetpack SSO from the missing block alert. Use the link picker to add URLs to posts. Double-tap text fields in accessibility mode now works as expected.,"block editor is consistent with text format but 2 much white spaces between 2 paragraphs need to shrink at 15 or 10 does not have sticky post option for published posts unlike web version is there a way to balance the font size and format of paragraph without the texts going off at random italic and random font size there and here especially between web version and mobile options for font size font style linespacing control are mustneeds regardless of app or internet versions   
 (0.85)","block editor is very slow to load and its a nightmare for text created elsewhere list block turns into text block after pasting lines of text and it cant be changed or adjusted underscore text option is missing app lags when adding blocks formatting in classic editor is now wonky especially for lists   
 (0.87)","i cant edit widgets nor delete it even after the update spacing is also a problem i want a new paragraph but it connects to the previous one hate it until its fixed   
 (0.87)","block editor in the app does not support lists yet i make lists a lot after updating i still cant edit or see a list in the app i made the post in block on a browser   
 (0.86)","i still find the block editor unusable because there is no way to convert an existing block to another type you have to delete and create a new one before pasting in content pasting doesnt even work with titles and heading blocks they just revert to paragraphs   
 (0.86)","1 simple controls like adding a hyperlink to the text work erratically the popup to add url doesnt appear when it appears even if i save the url it doesnt reflect in the preview 2 editing post is not only slow switching between controls often doesnt work 3 while i havent digged into the details it runs slowly on my phonegalaxy s8 even when other apps are closed also the phone heats up   
 (0.85)",,,,
Release Note : Block editor updates: “Trash block” in a menu reachable from the block toolbar.,"i still find the block editor unusable because there is no way to convert an existing block to another type you have to delete and create a new one before pasting in content pasting doesnt even work with titles and heading blocks they just revert to paragraphs   
 (0.83)","block editor is very slow to load and its a nightmare for text created elsewhere list block turns into text block after pasting lines of text and it cant be changed or adjusted underscore text option is missing app lags when adding blocks formatting in classic editor is now wonky especially for lists   
 (0.87)","block editor in the app does not support lists yet i make lists a lot after updating i still cant edit or see a list in the app i made the post in block on a browser   
 (0.87)","cant click to edit menu without it moving and cant click certain elements to edit like site origins page builder just wobble when i try to click the row to edit the customiser has same problems not everything opens the interface is too small   
 (0.86)","is there an option to make classic editor the default setting the block editor doesnt consistently work as it should i get problem displaying block a lot i also personally prefer the classic editor   
 (0.86)",,,,,
"Release Note : Relocated floating toolbar, fixed bug impact white space in Text blocks, fixed misaligned toolbar icons in RTL mode.",,,,,,,,,,
Release Note : Added reblog functionality.,"needs full publishing and reading capability also difficult to find what i want can never find the reblogging function   
 (0.85)","very limited functionality compared to the web interface no facility to discard a post comparerestore versions   
 (0.88)","this is a great app but the latest update 43 messed up notifications werent updating reblog and like buttons were gone and the contact function didnt work so couldnt even report the issues left a message here which seems to have disappeared butsince then have read about the 431 update and it solves all the issues immediately so give it a try i wish automattic would have sent out the update automatically pardon the pun to save us all this grief   
 (0.87)","as a part of devoloper gurop     
 (0.87)","i tried adding the widget and nothing appears pointless   
 (0.86)","good for adding minor updates etc wondering if there will ever be any compatibility with drag and drop page builder plugins like siteorigin   
 (0.85)","i like the addition of putting a link in now but you also took away adding a read more thing unless i just cant find it the button for it isnt there anymore   
 (0.85)",,,
Release Note : Fixes a crash when inserting a Button Block.,"its terrible application keeps crashing every now and then when saving an edit and even when you are not saving but just using the application its very frustrating i dont know what update you guys made to this version but it needs to be review and identified what is causing the crash thanks   
 (0.85)","thanks for the great appbut the last update is really buggy and crashes   
 (0.88)","its okay keeps crashing and the block editor isnt good   
 (0.87)","the app never used to crash and now it crashes at least once or twice everyday also the notifications used to appear instantly and now while the push up notification notifies me that there are comments on my blog the notifications feed doesnt show those comments i have to now go to my app settings and force stop the app and open it again each time it crashes or the notifications dont show up sorry to have to delete it but i cant work with a faulty app please fix it   
 (0.87)","crashes constantly if your entry is only short youll be fine but a long entry with multiple pictures and it crashes to the point you cannot use the app im doing a travel blog currently and do the initial set up of each update in the app then have to use the website which i find also has problems when using chrome as the down arrows on widgets dont work so im toggling between the app chrome and firefox yes it really is fun not please sort this out asap wordpress   
 (0.86)","i did write a review about the app crashing and looking my drafts the other week ive got a new updated phone and got the app theres some problems that are still in the app as in my old phone when wanting to add a picture from my phone gallery most pictures dont show up and they arent in order so its hard to find the ones i want sometimes when i click somewhere on a line or in a paragraph to type it selects the very beginning of the post or the very end and not where i click thanks   
 (0.85)","since last update the app is crashing all the time even dont upload a media file always say something went wrong please try again normally a app work good after update but with wordpress no longer apply this rule the app is crashing all the time you cant write a post or upload a photo for a video file i am clear the catch and also install and uninstall the app several times but the problem is going same   
 (0.85)",,,
